submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
09/27/2021,ND,130574,115285,15289,1102,551,1607,,,3,0,09/28/2021 02:30:08 PM,Agree,Not agree
05/26/2021,AL,542519,419058,123461,347,150,11363,9076,2287,3,1,05/28/2021 12:00:00 AM,Agree,Agree
11/09/2020,ND,56342,56342,0,2037,0,674,,,35,0,11/10/2020 02:45:45 PM,Agree,Not agree
10/05/2020,NC,219470,213288,6182,1326,35,3945,3897,48,28,1,10/05/2020 12:00:00 AM,Agree,Agree
04/29/2021,NC,960248,826220,134028,2270,487,13084,11558,1526,9,2,04/29/2021 12:00:00 AM,Agree,Agree
01/09/2021,AL,398488,322268,76220,2823,482,7903,6430,1473,83,29,01/11/2021 12:00:00 AM,Agree,Agree
09/03/2020,ND,12973,12973,0,344,0,150,,,0,0,09/04/2020 01:36:16 PM,Agree,Not agree
03/21/2020,ND,28,,,2,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
10/06/2021,NC,1419428,1201558,217870,3578,882,17477,15367,2110,51,6,10/06/2021 12:00:00 AM,Agree,Agree
10/09/2021,AL,803884,603248,200636,641,193,15646,12158,3488,45,10,10/11/2021 12:00:00 AM,Agree,Agree
08/31/2020,ND,12000,12000,0,184,0,145,,,2,0,09/01/2020 02:09:34 PM,Agree,Not agree
07/13/2021,NC,1013885,865904,147981,900,251,13679,12064,1615,3,0,07/13/2021 12:00:00 AM,Agree,Agree
05/19/2021,NC,984942,844929,140013,1165,304,13334,11762,1572,13,1,05/19/2021 12:00:00 AM,Agree,Agree
10/18/2021,NC,1452849,1229052,223797,1369,172,17994,15820,2174,44,4,10/18/2021 12:00:00 AM,Agree,Agree
06/06/2021,AL,544458,420366,124092,75,5,11420,9119,2301,7,1,06/08/2021 12:00:00 AM,Agree,Agree
08/27/2020,NC,164053,161438,2615,2167,104,2864,2854,10,22,0,08/27/2020 12:00:00 AM,Agree,Agree
11/23/2020,ND,74401,74401,0,1004,0,883,,,37,0,11/24/2020 03:27:55 PM,Agree,Not agree
02/22/2021,ND,99416,94322,5094,104,55,1439,,,1,0,02/23/2021 02:51:13 PM,Agree,Not agree
11/26/2020,NC,353356,332052,21304,4652,643,5691,5492,199,37,4,11/26/2020 12:00:00 AM,Agree,Agree
06/03/2021,ND,110151,101123,9028,106,25,1515,,,3,0,06/04/2021 02:56:57 PM,Agree,Not agree
12/05/2021,NC,1547309,1303608,243701,2506,376,19050,16764,2286,20,3,12/05/2021 12:00:00 AM,Agree,Agree
01/24/2021,AL,440988,353296,87692,1817,259,9125,7342,1783,72,31,01/26/2021 12:00:00 AM,Agree,Agree
09/19/2021,NC,1346300,1141118,205182,4950,516,16429,14449,1980,58,3,09/19/2021 12:00:00 AM,Agree,Agree
05/22/2021,NC,988067,847193,140874,1066,364,13377,11799,1578,10,1,05/22/2021 12:00:00 AM,Agree,Agree
09/18/2021,NC,1341350,1136684,204666,6000,1126,16371,14394,1977,69,5,09/18/2021 12:00:00 AM,Agree,Agree
03/08/2020,ND,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
02/10/2020,ND,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
09/14/2020,AL,138058,125648,12410,750,191,3710,3242,468,17,3,09/16/2020 12:00:00 AM,Agree,Agree
06/15/2020,ND,3101,3101,0,21,0,77,,,3,3,06/16/2020 02:10:11 PM,Agree,Not agree
12/28/2020,AL,347777,284132,63645,3971,1727,6969,5742,1227,69,19,12/30/2020 12:00:00 AM,Agree,Agree
01/16/2022,ND,195545,155092,40453,1067,295,2047,,,0,0,01/17/2022 03:24:48 PM,Agree,Not agree
08/31/2021,NC,1218013,1033920,184093,6829,1371,15041,13233,1808,61,9,08/31/2021 12:00:00 AM,Agree,Agree
09/24/2021,ND,129189,114540,14649,637,161,1604,,,7,0,09/25/2021 01:25:43 PM,Agree,Not agree
